tspan,sigma1,sigma2,sigma3
0.047439996,0.9300237,0.9348806,0.9851473
0.04745,0.92795527,0.93293005,0.9802524
0.047459997,0.9262587,0.93148166,0.9760264
0.047469996,0.9250263,0.9306047,0.97272956
0.04748,0.9243238,0.9303342,0.9705639
0.047489997,0.9241854,0.93067336,0.9696608
0.0475,0.9246099,0.93159586,0.97007394
0.047509998,0.9255598,0.9330472,0.9717769
0.047519997,0.9269632,0.93494403,0.9746638
0.04753,0.9287189,0.937176,0.97855604
0.047539998,0.9307029,0.93960637,0.98321295
0.047549997,0.9327769,0.9420798,0.988346
0.04756,0.93479717,0.944431,0.9936373
0.047569998,0.9366231,0.9464983,0.99875885
0.047579996,0.93812615,0.9481373,1.0033941
0.04759,0.93919826,0.949234,1.0072576
0.047599997,0.93975973,0.94971466,1.0101125
0.047609996,0.93976545,0.9495505,1.0117851
0.04762,0.9392085,0.9487579,1.012174
0.047629997,0.93812144,0.9473943,1.0112553
0.047639996,0.9365729,0.94555104,1.0090829
0.04765,0.934662,0.9433458,1.0057844
0.047659997,0.93250996,0.940914,1.0015521
0.047669996,0.9302516,0.93840045,0.99663264
0.047679998,0.92802614,0.93595207,0.9913104
0.047689997,0.92596895,0.93371075,0.98589253
0.0477,0.9242046,0.93180627,0.98069
0.047709998,0.9228411,0.93034995,0.9759997
0.047719996,0.9219631,0.9294286,0.97208714
0.04773,0.92162764,0.9290998,0.96917045
0.047739998,0.9218596,0.9293876,0.96740794
0.047749996,0.92264855,0.9302808,0.96688867
0.04776,0.92394865,0.9317312,0.9676277
0.047769997,0.9256806,0.9336556,0.9695655
0.047779996,0.9277362,0.93593884,0.9725731
0.04779,0.92998564,0.9384404,0.97646034
0.047799997,0.93228525,0.94100285,0.9809889
0.047809996,0.934487,0.9434638,0.985888
0.047819998,0.93644726,0.9456679,0.99087125
0.047829997,0.9380363,0.94747907,0.9956543
0.047839995,0.93914676,0.9487901,0.99997175
0.047849998,0.9397003,0.9495296,1.0035918
0.047859997,0.9396546,0.9496643,1.0063288
0.047869995,0.9390062,0.9491986,1.0080527
0.047879998,0.93779117,0.94817126,1.008695
0.047889996,0.9360821,0.94665134,1.0082514
0.0479,0.9339826,0.94473344,1.0067815
0.047909997,0.93161887,0.9425332,1.0044034
0.047919996,0.9291305,0.9401823,1.0012879
0.04793,0.9266617,0.937822,0.9976467
0.047939997,0.9243529,0.93559515,0.9937198
0.047949996,0.9223336,0.933637,0.98976076
0.04796,0.92071694,0.9320649,0.9860207
0.047969997,0.9195935,0.93096936,0.9827323
0.047979996,0.91902685,0.9304077,0.98009557
0.047989998,0.91904867,0.9304014,0.9782649
0.047999997,0.91965544,0.93093616,0.9773406
0.04801,0.9208069,0.93196607,0.97736204
0.04802,0.9224268,0.9334176,0.97830486
0.04803,0.92440724,0.93519545,0.9800768
0.04804,0.92661476,0.93718725,0.9825493
0.04805,0.9289002,0.9392689,0.98552525
0.04806,0.931108,0.9413098,0.9888183
0.04807,0.9330882,0.9431803,0.9921988
0.04808,0.9347054,0.9447603,0.9954229
0.04809,0.9358493,0.94594765,0.9982917
0.0481,0.9364413,0.9466664,1.0006102
0.04811,0.93644047,0.946873,1.0022156
0.04812,0.9358455,0.94655854,1.002989
0.04813,0.93469447,0.94574755,1.0028481
