tspan,sigma1,sigma2,sigma3
0.052789997,0.8735976,0.87343377,0.8750356
0.052799996,0.87602234,0.87586397,0.8774716
0.052809995,0.8783475,0.87819576,0.8798096
0.052819997,0.8804277,0.88028324,0.88190305
0.052829996,0.88213253,0.88199615,0.88362193
0.052839994,0.8833555,0.88322735,0.88486004
0.052849997,0.88402,0.8839003,0.8855418
0.052859996,0.8840849,0.8839735,0.8856267
0.052869994,0.88354635,0.88344264,0.8851109
0.052879997,0.88243866,0.88234186,0.8840281
0.052889995,0.8808315,0.88074076,0.8824466
0.052899998,0.878826,0.8787401,0.8804654
0.052909996,0.87654847,0.87646604,0.87820804
0.052919995,0.87414193,0.87406147,0.87581545
0.052929997,0.87175745,0.8716775,0.8734371
0.052939996,0.86954474,0.8694639,0.87122214
0.052949995,0.8676429,0.86755955,0.86931
0.052959997,0.8661709,0.86608374,0.86782134
0.052969996,0.86522114,0.8651289,0.8668505
0.052979995,0.86485296,0.86475444,0.8664588
0.052989997,0.8650893,0.86498344,0.86667085
0.052999996,0.8659148,0.86580086,0.86747235
0.053009998,0.8672775,0.86715484,0.86881125
0.05302,0.8690914,0.86895955,0.87060094
0.05303,0.87124217,0.8711009,0.8727263
0.053039998,0.8735943,0.87344384,0.875051
0.05305,0.8759998,0.87584066,0.87742674
0.05306,0.8783072,0.8781401,0.8797028
0.053069998,0.88037133,0.8801972,0.8817355
0.05308,0.8820623,0.88188255,0.8833971
0.05309,0.88327384,0.8830898,0.8845835
0.0531,0.8839297,0.8837431,0.8852212
0.05311,0.88398886,0.8838013,0.8852704
0.05312,0.88344777,0.88326085,0.88472855
0.05313,0.88234067,0.882156,0.8836296
0.05314,0.88073725,0.8805564,0.88204235
0.05315,0.87873864,0.87856305,0.8800661
0.05316,0.8764708,0.8763019,0.877825
0.05317,0.87407655,0.87391543,0.87546045
0.053179998,0.87170684,0.8715546,0.8731221
0.05319,0.8695109,0.86936843,0.87095904
0.0532,0.8676272,0.8674951,0.86911035
0.053209998,0.86617464,0.8660532,0.8676952
0.05322,0.865245,0.8651343,0.86680627
0.05323,0.864897,0.86479694,0.8665024
0.053239997,0.8651532,0.86506325,0.8668053
0.05325,0.8659977,0.8659171,0.86769783
0.05326,0.867378,0.8673058,0.8691249
0.053269997,0.8692074,0.86914253,0.8709973
0.05328,0.8713714,0.8713125,0.8731977
0.05329,0.87373406,0.87367976,0.8755884
0.0533,0.8761469,0.8760958,0.8780198
0.05331,0.87845844,0.8784089,0.88034046
0.053319998,0.88052315,0.8804739,0.8824059
0.05333,0.8822112,0.8821607,0.88408744
0.05334,0.88341635,0.8833631,0.8852805
0.053349998,0.8840624,0.8840053,0.88591003
0.05336,0.8841084,0.8840461,0.8859359
0.05337,0.8835511,0.8834826,0.8853544
0.053379998,0.88242483,0.882349,0.88419956
0.05339,0.8807998,0.88071615,0.88254046
0.0534,0.87877727,0.8786855,0.8804778
0.053409997,0.8764837,0.87638366,0.8781377
0.05342,0.8740624,0.87395436,0.87566406
0.05343,0.871665,0.87154925,0.87320966
0.053439997,0.86944115,0.8693184,0.8709265
0.05345,0.86753,0.86740106,0.8689563
0.05346,0.8660512,0.86591685,0.86742127
0.053469997,0.8650969,0.86495817,0.8664158
0.05348,0.8647268,0.86458457,0.8660009
0.053489998,0.86496353,0.8648187,0.86619973
0.0535,0.8657918,0.8656455,0.8669967
0.05351,0.8671594,0.8670126,0.86833835
0.053519998,0.86898017,0.86883384,0.8701373
0.05353,0.87113947,0.87099457,0.87227774
0.05354,0.8735015,0.873359,0.87462354
0.053549998,0.875918,0.8757788,0.87702656
0.05356,0.87823725,0.87810194,0.8793361
0.05357,0.88031375,0.880183,0.881408
0.053579997,0.88201743,0.8818915,0.88311327
0.05359,0.88324165,0.88312066,0.8843461
0.0536,0.88391,0.88379383,0.8850299
0.053609997,0.883981,0.8838694,0.8851223
0.05362,0.88345087,0.88334346,0.88461757
0.053629998,0.88235337,0.8822495,0.8835474
0.053639997,0.88075805,0.88065696,0.88197917
0.05365,0.87876576,0.8786669,0.88001174
0.053659998,0.87650216,0.87640464,0.87776977
0.053669997,0.87411016,0.8740133,0.8753958
0.05368,0.87174046,0.87164354,0.87304103
0.053689998,0.86954254,0.8694447,0.8708559
0.0537,0.8676549,0.86755526,0.86898
0.05371,0.86619663,0.8660946,0.86753315
0.053719997,0.8652596,0.86515427,0.86660784
0.05373,0.86490285,0.8647938,0.8662628
0.05374,0.86514914,0.86503553,0.8665197
0.053749997,0.86598265,0.8658645,0.86736166
0.05376,0.8673513,0.86722815,0.8687352
0.05377,0.86916864,0.8690407,0.87055314
0.053779997,0.8713204,0.8711879,0.87270063
0.05379,0.8736712,0.8735344,0.87504303
0.053799998,0.87607294,0.87593216,0.87743354
0.053809997,0.8783744,0.87823015,0.87972295
0.05382,0.8804306,0.88028336,0.8817683
0.053829998,0.88211197,0.8819623,0.8834417
0.053839996,0.88331246,0.8831608,0.884638
0.05385,0.8839562,0.88380325,0.8852817
0.053859998,0.88400227,0.8838484,0.88533115
0.053869996,0.88344747,0.88329345,0.8847818
0.05388,0.88232607,0.8821726,0.88366663
0.053889997,0.8807083,0.88055587,0.88205475
0.0539,0.87869537,0.87854475,0.88004684
0.05391,0.8764136,0.8762654,0.8777697
0.053919997,0.87400615,0.8738611,0.8753672
0.05393,0.8716243,0.87148273,0.87299204
0.05394,0.8694178,0.86928004,0.8707951
0.053949997,0.86752534,0.86739147,0.8689161
0.05396,0.8660661,0.8659362,0.86747456
0.053969998,0.8651319,0.86500585,0.8665618
0.053979997,0.86478186,0.8646595,0.86623573
0.05399,0.8650382,0.8649193,0.8665168
0.053999998,0.8658852,0.8657696,0.86738765
0.054009996,0.86727,0.8671576,0.86879385
